white_daisy,black_daisy,open_land
0.386625,0.210096,0.403279
0.377941,0.156998,0.465061
0.365464,0.110124,0.524413
0.348912,0.0770866,0.574002
0.33303,0.0539606,0.61301
0.31983,0.0377724,0.642398
0.309568,0.0264407,0.663991
0.301858,0.0185085,0.679633
0.296179,0.0129559,0.690865
0.29205,0.00906916,0.698881
0.329097,0.00660045,0.664303
0.340709,0.00462032,0.654671
0.342938,0.00323422,0.653828
0.342871,0.00226395,0.654865
0.342423,0.00158477,0.655993
0.342012,0.00110934,0.656879
0.341701,0.000776536,0.657523
0.341477,0.000543576,0.65798
0.341319,0.000380503,0.658301
0.341208,0.000266352,0.658526
0.385404,0.000200699,0.614395
0.394859,0.000140489,0.605
0.396217,9.83426e-05,0.603685
0.396379,6.88398e-05,0.603552
0.396387,4.81879e-05,0.603565
0.396378,3.37315e-05,0.603588
0.39637,2.36121e-05,0.603606
0.396364,1.65284e-05,0.603619
0.39636,1.15699e-05,0.603628
0.396357,8.09894e-06,0.603635
0.443747,6.27577e-06,0.556247
0.447959,4.39304e-06,0.552036
0.448113,3.07513e-06,0.551884
0.448117,2.15259e-06,0.551881
0.448117,1.50681e-06,0.551882
0.448117,1.05477e-06,0.551882
0.448116,7.38338e-07,0.551883
0.448116,5.16837e-07,0.551883
0.448116,3.61786e-07,0.551884
0.448116,2.5325e-07,0.551884
0.497418,2.01307e-07,0.502582
0.496278,1.43076e-07,0.503722
0.496346,1.01943e-07,0.503654
0.496342,7.26248e-08,0.503658
0.496342,5.17388e-08,0.503658
0.496342,3.68593e-08,0.503658
0.496342,2.6259e-08,0.503658
0.496342,1.87072e-08,0.503658
0.496342,1.33272e-08,0.503658
0.496342,9.49446e-09,0.503658
0.546561,7.72459e-09,0.453439
0.54032,5.63638e-09,0.45968
0.541238,4.16654e-09,0.458762
0.541105,3.07407e-09,0.458895
0.541124,2.26869e-09,0.458876
0.541121,1.67424e-09,0.458879
0.541122,1.23556e-09,0.458878
0.541122,9.11816e-10,0.458878
0.541122,6.72903e-10,0.458878
0.541122,4.96589e-10,0.458878
0.591454,4.12663e-10,0.408546
0.580508,3.0876e-10,0.419492
0.583011,2.36134e-10,0.416989
0.582442,1.7968e-10,0.417558
0.582571,1.3688e-10,0.417429
0.582542,1.04247e-10,0.417458
0.582549,7.93991e-11,0.417451
0.582547,6.0473e-11,0.417453
0.582548,4.60583e-11,0.417452
0.582547,3.50796e-11,0.417453
0.632357,2.97173e-11,0.367643
0.61714,2.27638e-11,0.38286
0.621819,1.79599e-11,0.378181
0.620376,1.40399e-11,0.379624
0.620821,1.10066e-11,0.379179
0.620684,8.62114e-12,0.379316
0.620726,6.75448e-12,0.379274
0.620713,5.29155e-12,0.379287
0.620717,4.14558e-12,0.379283
0.620716,3.24776e-12,0.379284
0.669515,2.79972e-12,0.330485
0.65043,2.19159e-12,0.34957
0.657803,1.77898e-12,0.342197
0.654929,1.4236e-12,0.345071
0.656046,1.14553e-12,0.343954
0.655612,9.19793e-13,0.344388
0.655781,7.39157e-13,0.344219
0.655715,5.93802e-13,0.344285
0.65574,4.77091e-13,0.34426
0.655731,3.83301e-13,0.344269
0.665972,3.35679e-13,0.334028
0.678727,2.8788e-13,0.321273
0.691997,2.40698e-13,0.308003
0.685707,1.96179e-13,0.314293
0.68867,1.6182e-13,0.31133
0.68727,1.32724e-13,0.31273
0.68793,1.09151e-13,0.31207
0.687619,8.9652e-14,0.312381
0.687766,7.368e-14,0.312234
0.687696,6.05365e-14,0.312304
0.658409,5.37768e-14,0.341591
